"well_ID","time_min","treatment","enzyme","absorbance","substrate"
"B4",18.5,"B","MnP",0.0717,"MBTH/DMAB"
"B5",18.5,"A_H2O2","HoP",1.0271,"MBTH/DMAB"
"B6",18.5,"B_H2O2","HoP",0.966,"MBTH/DMAB"
"B7",18.5,"A","HoP",0.09,"MBTH/DMAB"
"B8",18.5,"B","HoP",0.0902,"MBTH/DMAB"
"C1",18.5,"A_H2O2","MnP",1.1029,"MBTH/DMAB"
"C2",18.5,"B_H2O2","MnP",0.0816,"MBTH/DMAB"
"C3",18.5,"A","MnP",0.0871,"MBTH/DMAB"
"C4",18.5,"B","MnP",0.0735,"MBTH/DMAB"
"C5",18.5,"A_H2O2","HoP",0.9845,"MBTH/DMAB"
"C6",18.5,"B_H2O2","HoP",1.0614,"MBTH/DMAB"
"C7",18.5,"A","HoP",0.0906,"MBTH/DMAB"
"C8",18.5,"B","HoP",0.0916,"MBTH/DMAB"
"D1",18.5,"A_H2O2","MnP",1.0512,"MBTH/DMAB"
"D2",18.5,"B_H2O2","MnP",0.0787,"MBTH/DMAB"
"D3",18.5,"A","MnP",0.0864,"MBTH/DMAB"
"D4",18.5,"B","MnP",0.0734,"MBTH/DMAB"
"D5",18.5,"A_H2O2","HoP",1.0382,"MBTH/DMAB"
"D6",18.5,"B_H2O2","HoP",1.0491,"MBTH/DMAB"
"D7",18.5,"A","HoP",0.0902,"MBTH/DMAB"
"D8",18.5,"B","HoP",0.0915,"MBTH/DMAB"
"A1",19,"A_H2O2","MnP",0.9774,"MBTH/DMAB"
"A2",19,"B_H2O2","MnP",0.073,"MBTH/DMAB"
"A3",19,"A","MnP",0.0869,"MBTH/DMAB"
"A4",19,"B","MnP",0.0707,"MBTH/DMAB"
"A5",19,"A_H2O2","HoP",1.043,"MBTH/DMAB"
"A6",19,"B_H2O2","HoP",1.0753,"MBTH/DMAB"
"A7",19,"A","HoP",0.09,"MBTH/DMAB"
"A8",19,"B","HoP",0.0901,"MBTH/DMAB"
"B1",19,"A_H2O2","MnP",1.3069,"MBTH/DMAB"
"B2",19,"B_H2O2","MnP",0.0768,"MBTH/DMAB"
"B3",19,"A","MnP",0.087,"MBTH/DMAB"
"B4",19,"B","MnP",0.0716,"MBTH/DMAB"
"B5",19,"A_H2O2","HoP",1.0444,"MBTH/DMAB"
"B6",19,"B_H2O2","HoP",0.9826,"MBTH/DMAB"
"B7",19,"A","HoP",0.0898,"MBTH/DMAB"
"B8",19,"B","HoP",0.0901,"MBTH/DMAB"
"C1",19,"A_H2O2","MnP",1.113,"MBTH/DMAB"
"C2",19,"B_H2O2","MnP",0.0817,"MBTH/DMAB"
"C3",19,"A","MnP",0.0872,"MBTH/DMAB"
"C4",19,"B","MnP",0.0735,"MBTH/DMAB"
"C5",19,"A_H2O2","HoP",1.0012,"MBTH/DMAB"
"C6",19,"B_H2O2","HoP",1.0809,"MBTH/DMAB"
"C7",19,"A","HoP",0.0907,"MBTH/DMAB"
"C8",19,"B","HoP",0.0917,"MBTH/DMAB"
"D1",19,"A_H2O2","MnP",1.0602,"MBTH/DMAB"
"D2",19,"B_H2O2","MnP",0.0788,"MBTH/DMAB"
"D3",19,"A","MnP",0.0872,"MBTH/DMAB"
"D4",19,"B","MnP",0.0735,"MBTH/DMAB"
"D5",19,"A_H2O2","HoP",1.0555,"MBTH/DMAB"
"D6",19,"B_H2O2","HoP",1.0665,"MBTH/DMAB"
"D7",19,"A","HoP",0.0904,"MBTH/DMAB"
"D8",19,"B","HoP",0.0913,"MBTH/DMAB"
"A1",19.5,"A_H2O2","MnP",0.9839,"MBTH/DMAB"
"A2",19.5,"B_H2O2","MnP",0.0734,"MBTH/DMAB"
"A3",19.5,"A","MnP",0.0868,"MBTH/DMAB"
"A4",19.5,"B","MnP",0.0708,"MBTH/DMAB"
"A5",19.5,"A_H2O2","HoP",1.06,"MBTH/DMAB"
"A6",19.5,"B_H2O2","HoP",1.0929,"MBTH/DMAB"
"A7",19.5,"A","HoP",0.0898,"MBTH/DMAB"
"A8",19.5,"B","HoP",0.0898,"MBTH/DMAB"
"B1",19.5,"A_H2O2","MnP",1.3187,"MBTH/DMAB"
"B2",19.5,"B_H2O2","MnP",0.0775,"MBTH/DMAB"
"B3",19.5,"A","MnP",0.0869,"MBTH/DMAB"
"B4",19.5,"B","MnP",0.072,"MBTH/DMAB"
"B5",19.5,"A_H2O2","HoP",1.061,"MBTH/DMAB"
"B6",19.5,"B_H2O2","HoP",0.9994,"MBTH/DMAB"
"B7",19.5,"A","HoP",0.0899,"MBTH/DMAB"
"B8",19.5,"B","HoP",0.0903,"MBTH/DMAB"
"C1",19.5,"A_H2O2","MnP",1.1232,"MBTH/DMAB"
"C2",19.5,"B_H2O2","MnP",0.0817,"MBTH/DMAB"
"C3",19.5,"A","MnP",0.0872,"MBTH/DMAB"
"C4",19.5,"B","MnP",0.0736,"MBTH/DMAB"
"C5",19.5,"A_H2O2","HoP",1.0183,"MBTH/DMAB"
"C6",19.5,"B_H2O2","HoP",1.1005,"MBTH/DMAB"
"C7",19.5,"A","HoP",0.091,"MBTH/DMAB"
"C8",19.5,"B","HoP",0.0918,"MBTH/DMAB"
"D1",19.5,"A_H2O2","MnP",1.0693,"MBTH/DMAB"
"D2",19.5,"B_H2O2","MnP",0.0792,"MBTH/DMAB"
"D3",19.5,"A","MnP",0.0866,"MBTH/DMAB"
"D4",19.5,"B","MnP",0.0738,"MBTH/DMAB"
"D5",19.5,"A_H2O2","HoP",1.0718,"MBTH/DMAB"
"D6",19.5,"B_H2O2","HoP",1.0838,"MBTH/DMAB"
"D7",19.5,"A","HoP",0.0908,"MBTH/DMAB"
"D8",19.5,"B","HoP",0.0914,"MBTH/DMAB"
"A1",20,"A_H2O2","MnP",0.9915,"MBTH/DMAB"
"A2",20,"B_H2O2","MnP",0.0736,"MBTH/DMAB"
"A3",20,"A","MnP",0.0867,"MBTH/DMAB"
"A4",20,"B","MnP",0.0712,"MBTH/DMAB"
"A5",20,"A_H2O2","HoP",1.0756,"MBTH/DMAB"
"A6",20,"B_H2O2","HoP",1.11,"MBTH/DMAB"
"A7",20,"A","HoP",0.0897,"MBTH/DMAB"
"A8",20,"B","HoP",0.0898,"MBTH/DMAB"
"B1",20,"A_H2O2","MnP",1.3327,"MBTH/DMAB"
"B2",20,"B_H2O2","MnP",0.0774,"MBTH/DMAB"
"B3",20,"A","MnP",0.0868,"MBTH/DMAB"
"B4",20,"B","MnP",0.0721,"MBTH/DMAB"
"B5",20,"A_H2O2","HoP",1.079,"MBTH/DMAB"
"B6",20,"B_H2O2","HoP",1.0154,"MBTH/DMAB"
"B7",20,"A","HoP",0.0904,"MBTH/DMAB"
"B8",20,"B","HoP",0.0902,"MBTH/DMAB"
"C1",20,"A_H2O2","MnP",1.1337,"MBTH/DMAB"
"C2",20,"B_H2O2","MnP",0.0824,"MBTH/DMAB"
"C3",20,"A","MnP",0.087,"MBTH/DMAB"
"C4",20,"B","MnP",0.0744,"MBTH/DMAB"
"C5",20,"A_H2O2","HoP",1.0338,"MBTH/DMAB"
"C6",20,"B_H2O2","HoP",1.1179,"MBTH/DMAB"
"C7",20,"A","HoP",0.0911,"MBTH/DMAB"
"C8",20,"B","HoP",0.0919,"MBTH/DMAB"
"D1",20,"A_H2O2","MnP",1.0786,"MBTH/DMAB"
"D2",20,"B_H2O2","MnP",0.0795,"MBTH/DMAB"
"D3",20,"A","MnP",0.0868,"MBTH/DMAB"
"D4",20,"B","MnP",0.0744,"MBTH/DMAB"
"D5",20,"A_H2O2","HoP",1.088,"MBTH/DMAB"
"D6",20,"B_H2O2","HoP",1.1006,"MBTH/DMAB"
"D7",20,"A","HoP",0.0905,"MBTH/DMAB"
"D8",20,"B","HoP",0.0916,"MBTH/DMAB"
"A1",20.5,"A_H2O2","MnP",0.9973,"MBTH/DMAB"
"A2",20.5,"B_H2O2","MnP",0.0739,"MBTH/DMAB"
"A3",20.5,"A","MnP",0.0868,"MBTH/DMAB"
"A4",20.5,"B","MnP",0.0714,"MBTH/DMAB"
"A5",20.5,"A_H2O2","HoP",1.0915,"MBTH/DMAB"
"A6",20.5,"B_H2O2","HoP",1.1266,"MBTH/DMAB"
"A7",20.5,"A","HoP",0.0897,"MBTH/DMAB"
"A8",20.5,"B","HoP",0.0898,"MBTH/DMAB"
"B1",20.5,"A_H2O2","MnP",1.3445,"MBTH/DMAB"
"B2",20.5,"B_H2O2","MnP",0.0779,"MBTH/DMAB"
"B3",20.5,"A","MnP",0.0867,"MBTH/DMAB"
"B4",20.5,"B","MnP",0.0726,"MBTH/DMAB"
"B5",20.5,"A_H2O2","HoP",1.0947,"MBTH/DMAB"
"B6",20.5,"B_H2O2","HoP",1.0312,"MBTH/DMAB"
"B7",20.5,"A","HoP",0.0903,"MBTH/DMAB"
"B8",20.5,"B","HoP",0.0901,"MBTH/DMAB"
"C1",20.5,"A_H2O2","MnP",1.1434,"MBTH/DMAB"
"C2",20.5,"B_H2O2","MnP",0.0826,"MBTH/DMAB"
"C3",20.5,"A","MnP",0.0873,"MBTH/DMAB"
"C4",20.5,"B","MnP",0.0745,"MBTH/DMAB"
"C5",20.5,"A_H2O2","HoP",1.0488,"MBTH/DMAB"
"C6",20.5,"B_H2O2","HoP",1.1356,"MBTH/DMAB"
"C7",20.5,"A","HoP",0.0911,"MBTH/DMAB"
"C8",20.5,"B","HoP",0.0919,"MBTH/DMAB"
"D1",20.5,"A_H2O2","MnP",1.0863,"MBTH/DMAB"
"D2",20.5,"B_H2O2","MnP",0.0799,"MBTH/DMAB"
"D3",20.5,"A","MnP",0.0868,"MBTH/DMAB"
"D4",20.5,"B","MnP",0.074,"MBTH/DMAB"
"D5",20.5,"A_H2O2","HoP",1.1034,"MBTH/DMAB"
"D6",20.5,"B_H2O2","HoP",1.1174,"MBTH/DMAB"
"D7",20.5,"A","HoP",0.0908,"MBTH/DMAB"
"D8",20.5,"B","HoP",0.0918,"MBTH/DMAB"
"A1",21,"A_H2O2","MnP",1.0046,"MBTH/DMAB"
"A2",21,"B_H2O2","MnP",0.0742,"MBTH/DMAB"
"A3",21,"A","MnP",0.0867,"MBTH/DMAB"
"A4",21,"B","MnP",0.0715,"MBTH/DMAB"
"A5",21,"A_H2O2","HoP",1.1059,"MBTH/DMAB"
"A6",21,"B_H2O2","HoP",1.1427,"MBTH/DMAB"
"A7",21,"A","HoP",0.09,"MBTH/DMAB"
"A8",21,"B","HoP",0.0897,"MBTH/DMAB"
"B1",21,"A_H2O2","MnP",1.3578,"MBTH/DMAB"
"B2",21,"B_H2O2","MnP",0.078,"MBTH/DMAB"
"B3",21,"A","MnP",0.0868,"MBTH/DMAB"
"B4",21,"B","MnP",0.0724,"MBTH/DMAB"
"B5",21,"A_H2O2","HoP",1.1097,"MBTH/DMAB"
"B6",21,"B_H2O2","HoP",1.0455,"MBTH/DMAB"
"B7",21,"A","HoP",0.0907,"MBTH/DMAB"
"B8",21,"B","HoP",0.0904,"MBTH/DMAB"
"C1",21,"A_H2O2","MnP",1.1531,"MBTH/DMAB"
"C2",21,"B_H2O2","MnP",0.0829,"MBTH/DMAB"
"C3",21,"A","MnP",0.0872,"MBTH/DMAB"
"C4",21,"B","MnP",0.0747,"MBTH/DMAB"
"C5",21,"A_H2O2","HoP",1.0632,"MBTH/DMAB"
"C6",21,"B_H2O2","HoP",1.1535,"MBTH/DMAB"
"C7",21,"A","HoP",0.091,"MBTH/DMAB"
"C8",21,"B","HoP",0.0921,"MBTH/DMAB"
"D1",21,"A_H2O2","MnP",1.095,"MBTH/DMAB"
"D2",21,"B_H2O2","MnP",0.0803,"MBTH/DMAB"
"D3",21,"A","MnP",0.0867,"MBTH/DMAB"
"D4",21,"B","MnP",0.0742,"MBTH/DMAB"
"D5",21,"A_H2O2","HoP",1.1182,"MBTH/DMAB"
"D6",21,"B_H2O2","HoP",1.1335,"MBTH/DMAB"
"D7",21,"A","HoP",0.091,"MBTH/DMAB"
"D8",21,"B","HoP",0.0919,"MBTH/DMAB"
"A1",21.5,"A_H2O2","MnP",1.0101,"MBTH/DMAB"
"A2",21.5,"B_H2O2","MnP",0.0748,"MBTH/DMAB"
"A3",21.5,"A","MnP",0.0871,"MBTH/DMAB"
"A4",21.5,"B","MnP",0.0718,"MBTH/DMAB"
"A5",21.5,"A_H2O2","HoP",1.1212,"MBTH/DMAB"
"A6",21.5,"B_H2O2","HoP",1.1592,"MBTH/DMAB"
"A7",21.5,"A","HoP",0.0901,"MBTH/DMAB"
"A8",21.5,"B","HoP",0.0901,"MBTH/DMAB"
"B1",21.5,"A_H2O2","MnP",1.367,"MBTH/DMAB"
"B2",21.5,"B_H2O2","MnP",0.0787,"MBTH/DMAB"
"B3",21.5,"A","MnP",0.0874,"MBTH/DMAB"
"B4",21.5,"B","MnP",0.0729,"MBTH/DMAB"
"B5",21.5,"A_H2O2","HoP",1.1249,"MBTH/DMAB"
"B6",21.5,"B_H2O2","HoP",1.0602,"MBTH/DMAB"
"B7",21.5,"A","HoP",0.0904,"MBTH/DMAB"
"B8",21.5,"B","HoP",0.0905,"MBTH/DMAB"
"C1",21.5,"A_H2O2","MnP",1.161,"MBTH/DMAB"
"C2",21.5,"B_H2O2","MnP",0.0834,"MBTH/DMAB"
"C3",21.5,"A","MnP",0.0873,"MBTH/DMAB"
"C4",21.5,"B","MnP",0.0745,"MBTH/DMAB"
"C5",21.5,"A_H2O2","HoP",1.0784,"MBTH/DMAB"
"C6",21.5,"B_H2O2","HoP",1.1704,"MBTH/DMAB"
"C7",21.5,"A","HoP",0.0914,"MBTH/DMAB"
"C8",21.5,"B","HoP",0.0919,"MBTH/DMAB"
"D1",21.5,"A_H2O2","MnP",1.1026,"MBTH/DMAB"
"D2",21.5,"B_H2O2","MnP",0.0808,"MBTH/DMAB"
"D3",21.5,"A","MnP",0.0873,"MBTH/DMAB"
"D4",21.5,"B","MnP",0.0746,"MBTH/DMAB"
"D5",21.5,"A_H2O2","HoP",1.134,"MBTH/DMAB"
"D6",21.5,"B_H2O2","HoP",1.1488,"MBTH/DMAB"
"D7",21.5,"A","HoP",0.0912,"MBTH/DMAB"
"D8",21.5,"B","HoP",0.0917,"MBTH/DMAB"
"A1",22,"A_H2O2","MnP",1.0167,"MBTH/DMAB"
"A2",22,"B_H2O2","MnP",0.0752,"MBTH/DMAB"
"A3",22,"A","MnP",0.0872,"MBTH/DMAB"
"A4",22,"B","MnP",0.0718,"MBTH/DMAB"
"A5",22,"A_H2O2","HoP",1.1359,"MBTH/DMAB"
"A6",22,"B_H2O2","HoP",1.174,"MBTH/DMAB"
"A7",22,"A","HoP",0.0903,"MBTH/DMAB"
"A8",22,"B","HoP",0.0902,"MBTH/DMAB"
"B1",22,"A_H2O2","MnP",1.3797,"MBTH/DMAB"
"B2",22,"B_H2O2","MnP",0.0791,"MBTH/DMAB"
"B3",22,"A","MnP",0.0871,"MBTH/DMAB"
"B4",22,"B","MnP",0.0728,"MBTH/DMAB"
"B5",22,"A_H2O2","HoP",1.1401,"MBTH/DMAB"
"B6",22,"B_H2O2","HoP",1.0747,"MBTH/DMAB"
"B7",22,"A","HoP",0.0906,"MBTH/DMAB"
"B8",22,"B","HoP",0.0905,"MBTH/DMAB"
"C1",22,"A_H2O2","MnP",1.1691,"MBTH/DMAB"
"C2",22,"B_H2O2","MnP",0.0837,"MBTH/DMAB"
"C3",22,"A","MnP",0.0872,"MBTH/DMAB"
"C4",22,"B","MnP",0.0748,"MBTH/DMAB"
"C5",22,"A_H2O2","HoP",1.0932,"MBTH/DMAB"
"C6",22,"B_H2O2","HoP",1.187,"MBTH/DMAB"
"C7",22,"A","HoP",0.0916,"MBTH/DMAB"
"C8",22,"B","HoP",0.092,"MBTH/DMAB"
"D1",22,"A_H2O2","MnP",1.1102,"MBTH/DMAB"
"D2",22,"B_H2O2","MnP",0.0805,"MBTH/DMAB"
"D3",22,"A","MnP",0.0872,"MBTH/DMAB"
"D4",22,"B","MnP",0.0747,"MBTH/DMAB"
"D5",22,"A_H2O2","HoP",1.1483,"MBTH/DMAB"
"D6",22,"B_H2O2","HoP",1.1642,"MBTH/DMAB"
"D7",22,"A","HoP",0.0911,"MBTH/DMAB"
"D8",22,"B","HoP",0.0918,"MBTH/DMAB"
"A1",22.5,"A_H2O2","MnP",1.0226,"MBTH/DMAB"
"A2",22.5,"B_H2O2","MnP",0.0752,"MBTH/DMAB"
"A3",22.5,"A","MnP",0.0883,"MBTH/DMAB"
"A4",22.5,"B","MnP",0.0722,"MBTH/DMAB"
"A5",22.5,"A_H2O2","HoP",1.15,"MBTH/DMAB"
"A6",22.5,"B_H2O2","HoP",1.1902,"MBTH/DMAB"
"A7",22.5,"A","HoP",0.0903,"MBTH/DMAB"
"A8",22.5,"B","HoP",0.0902,"MBTH/DMAB"
"B1",22.5,"A_H2O2","MnP",1.3891,"MBTH/DMAB"
"B2",22.5,"B_H2O2","MnP",0.079,"MBTH/DMAB"
"B3",22.5,"A","MnP",0.0873,"MBTH/DMAB"
"B4",22.5,"B","MnP",0.073,"MBTH/DMAB"
"B5",22.5,"A_H2O2","HoP",1.1556,"MBTH/DMAB"
"B6",22.5,"B_H2O2","HoP",1.0892,"MBTH/DMAB"
"B7",22.5,"A","HoP",0.0907,"MBTH/DMAB"
"B8",22.5,"B","HoP",0.0905,"MBTH/DMAB"
"C1",22.5,"A_H2O2","MnP",1.1768,"MBTH/DMAB"
"C2",22.5,"B_H2O2","MnP",0.0838,"MBTH/DMAB"
"C3",22.5,"A","MnP",0.088,"MBTH/DMAB"
"C4",22.5,"B","MnP",0.0748,"MBTH/DMAB"
"C5",22.5,"A_H2O2","HoP",1.1074,"MBTH/DMAB"
"C6",22.5,"B_H2O2","HoP",1.2028,"MBTH/DMAB"
"C7",22.5,"A","HoP",0.0917,"MBTH/DMAB"
"C8",22.5,"B","HoP",0.092,"MBTH/DMAB"
"D1",22.5,"A_H2O2","MnP",1.1167,"MBTH/DMAB"
"D2",22.5,"B_H2O2","MnP",0.0812,"MBTH/DMAB"
"D3",22.5,"A","MnP",0.0873,"MBTH/DMAB"
"D4",22.5,"B","MnP",0.0746,"MBTH/DMAB"
"D5",22.5,"A_H2O2","HoP",1.1645,"MBTH/DMAB"
"D6",22.5,"B_H2O2","HoP",1.18,"MBTH/DMAB"
"D7",22.5,"A","HoP",0.0913,"MBTH/DMAB"
"D8",22.5,"B","HoP",0.0921,"MBTH/DMAB"
"A1",23,"A_H2O2","MnP",1.0271,"MBTH/DMAB"
"A2",23,"B_H2O2","MnP",0.0755,"MBTH/DMAB"
"A3",23,"A","MnP",0.0874,"MBTH/DMAB"
"A4",23,"B","MnP",0.0724,"MBTH/DMAB"
"A5",23,"A_H2O2","HoP",1.1637,"MBTH/DMAB"
"A6",23,"B_H2O2","HoP",1.2045,"MBTH/DMAB"
"A7",23,"A","HoP",0.0901,"MBTH/DMAB"
"A8",23,"B","HoP",0.0902,"MBTH/DMAB"
"B1",23,"A_H2O2","MnP",1.3984,"MBTH/DMAB"
"B2",23,"B_H2O2","MnP",0.0795,"MBTH/DMAB"
"B3",23,"A","MnP",0.0871,"MBTH/DMAB"
"B4",23,"B","MnP",0.0736,"MBTH/DMAB"
"B5",23,"A_H2O2","HoP",1.1696,"MBTH/DMAB"
"B6",23,"B_H2O2","HoP",1.1031,"MBTH/DMAB"
"B7",23,"A","HoP",0.0909,"MBTH/DMAB"
"B8",23,"B","HoP",0.0908,"MBTH/DMAB"
"C1",23,"A_H2O2","MnP",1.1841,"MBTH/DMAB"
"C2",23,"B_H2O2","MnP",0.0841,"MBTH/DMAB"
"C3",23,"A","MnP",0.0878,"MBTH/DMAB"
"C4",23,"B","MnP",0.0751,"MBTH/DMAB"
"C5",23,"A_H2O2","HoP",1.121,"MBTH/DMAB"
"C6",23,"B_H2O2","HoP",1.2174,"MBTH/DMAB"
"C7",23,"A","HoP",0.0919,"MBTH/DMAB"
"C8",23,"B","HoP",0.0922,"MBTH/DMAB"
"D1",23,"A_H2O2","MnP",1.1241,"MBTH/DMAB"
"D2",23,"B_H2O2","MnP",0.0811,"MBTH/DMAB"
"D3",23,"A","MnP",0.0874,"MBTH/DMAB"
"D4",23,"B","MnP",0.0751,"MBTH/DMAB"
"D5",23,"A_H2O2","HoP",1.1781,"MBTH/DMAB"
"D6",23,"B_H2O2","HoP",1.1949,"MBTH/DMAB"
"D7",23,"A","HoP",0.0918,"MBTH/DMAB"
"D8",23,"B","HoP",0.0918,"MBTH/DMAB"
"A1",23.5,"A_H2O2","MnP",1.033,"MBTH/DMAB"
"A2",23.5,"B_H2O2","MnP",0.0759,"MBTH/DMAB"
"A3",23.5,"A","MnP",0.0874,"MBTH/DMAB"
"A4",23.5,"B","MnP",0.0728,"MBTH/DMAB"
"A5",23.5,"A_H2O2","HoP",1.1767,"MBTH/DMAB"
"A6",23.5,"B_H2O2","HoP",1.218,"MBTH/DMAB"
"A7",23.5,"A","HoP",0.091,"MBTH/DMAB"
"A8",23.5,"B","HoP",0.0903,"MBTH/DMAB"
"B1",23.5,"A_H2O2","MnP",1.4084,"MBTH/DMAB"
"B2",23.5,"B_H2O2","MnP",0.0795,"MBTH/DMAB"
"B3",23.5,"A","MnP",0.0875,"MBTH/DMAB"
"B4",23.5,"B","MnP",0.0735,"MBTH/DMAB"
"B5",23.5,"A_H2O2","HoP",1.183,"MBTH/DMAB"
"B6",23.5,"B_H2O2","HoP",1.1174,"MBTH/DMAB"
"B7",23.5,"A","HoP",0.091,"MBTH/DMAB"
"B8",23.5,"B","HoP",0.0906,"MBTH/DMAB"
"C1",23.5,"A_H2O2","MnP",1.1921,"MBTH/DMAB"
"C2",23.5,"B_H2O2","MnP",0.0846,"MBTH/DMAB"
"C3",23.5,"A","MnP",0.0878,"MBTH/DMAB"
"C4",23.5,"B","MnP",0.0753,"MBTH/DMAB"
"C5",23.5,"A_H2O2","HoP",1.1343,"MBTH/DMAB"
"C6",23.5,"B_H2O2","HoP",1.2315,"MBTH/DMAB"
"C7",23.5,"A","HoP",0.092,"MBTH/DMAB"
"C8",23.5,"B","HoP",0.0921,"MBTH/DMAB"
"D1",23.5,"A_H2O2","MnP",1.1302,"MBTH/DMAB"
"D2",23.5,"B_H2O2","MnP",0.0817,"MBTH/DMAB"
"D3",23.5,"A","MnP",0.0873,"MBTH/DMAB"
"D4",23.5,"B","MnP",0.0751,"MBTH/DMAB"
"D5",23.5,"A_H2O2","HoP",1.1903,"MBTH/DMAB"
"D6",23.5,"B_H2O2","HoP",1.2062,"MBTH/DMAB"
"D7",23.5,"A","HoP",0.0916,"MBTH/DMAB"
"D8",23.5,"B","HoP",0.0919,"MBTH/DMAB"
"A1",24,"A_H2O2","MnP",1.0377,"MBTH/DMAB"
"A2",24,"B_H2O2","MnP",0.076,"MBTH/DMAB"
"A3",24,"A","MnP",0.0873,"MBTH/DMAB"
"A4",24,"B","MnP",0.0726,"MBTH/DMAB"
"A5",24,"A_H2O2","HoP",1.1901,"MBTH/DMAB"
"A6",24,"B_H2O2","HoP",1.2334,"MBTH/DMAB"
"A7",24,"A","HoP",0.0907,"MBTH/DMAB"
"A8",24,"B","HoP",0.0902,"MBTH/DMAB"
"B1",24,"A_H2O2","MnP",1.4169,"MBTH/DMAB"
"B2",24,"B_H2O2","MnP",0.0797,"MBTH/DMAB"
"B3",24,"A","MnP",0.0876,"MBTH/DMAB"
"B4",24,"B","MnP",0.0735,"MBTH/DMAB"
"B5",24,"A_H2O2","HoP",1.197,"MBTH/DMAB"
"B6",24,"B_H2O2","HoP",1.1298,"MBTH/DMAB"
"B7",24,"A","HoP",0.0913,"MBTH/DMAB"
"B8",24,"B","HoP",0.0906,"MBTH/DMAB"
"C1",24,"A_H2O2","MnP",1.1997,"MBTH/DMAB"
"C2",24,"B_H2O2","MnP",0.0849,"MBTH/DMAB"
"C3",24,"A","MnP",0.0878,"MBTH/DMAB"
"C4",24,"B","MnP",0.0756,"MBTH/DMAB"
"C5",24,"A_H2O2","HoP",1.1475,"MBTH/DMAB"
"C6",24,"B_H2O2","HoP",1.2469,"MBTH/DMAB"
"C7",24,"A","HoP",0.0916,"MBTH/DMAB"
"C8",24,"B","HoP",0.0924,"MBTH/DMAB"
"D1",24,"A_H2O2","MnP",1.1372,"MBTH/DMAB"
"D2",24,"B_H2O2","MnP",0.082,"MBTH/DMAB"
"D3",24,"A","MnP",0.0874,"MBTH/DMAB"
"D4",24,"B","MnP",0.0753,"MBTH/DMAB"
"D5",24,"A_H2O2","HoP",1.204,"MBTH/DMAB"
"D6",24,"B_H2O2","HoP",1.2211,"MBTH/DMAB"
"D7",24,"A","HoP",0.0916,"MBTH/DMAB"
"D8",24,"B","HoP",0.0918,"MBTH/DMAB"
"A1",24.5,"A_H2O2","MnP",1.0425,"MBTH/DMAB"
"A2",24.5,"B_H2O2","MnP",0.0763,"MBTH/DMAB"
"A3",24.5,"A","MnP",0.0877,"MBTH/DMAB"
"A4",24.5,"B","MnP",0.073,"MBTH/DMAB"
"A5",24.5,"A_H2O2","HoP",1.2023,"MBTH/DMAB"
"A6",24.5,"B_H2O2","HoP",1.2477,"MBTH/DMAB"
"A7",24.5,"A","HoP",0.0904,"MBTH/DMAB"
"A8",24.5,"B","HoP",0.0904,"MBTH/DMAB"
"B1",24.5,"A_H2O2","MnP",1.4254,"MBTH/DMAB"
"B2",24.5,"B_H2O2","MnP",0.08,"MBTH/DMAB"
"B3",24.5,"A","MnP",0.0878,"MBTH/DMAB"
"B4",24.5,"B","MnP",0.0737,"MBTH/DMAB"
"B5",24.5,"A_H2O2","HoP",1.2097,"MBTH/DMAB"
"B6",24.5,"B_H2O2","HoP",1.1428,"MBTH/DMAB"
"B7",24.5,"A","HoP",0.0912,"MBTH/DMAB"
"B8",24.5,"B","HoP",0.091,"MBTH/DMAB"
"C1",24.5,"A_H2O2","MnP",1.2053,"MBTH/DMAB"
"C2",24.5,"B_H2O2","MnP",0.0854,"MBTH/DMAB"
"C3",24.5,"A","MnP",0.0878,"MBTH/DMAB"
"C4",24.5,"B","MnP",0.0756,"MBTH/DMAB"
"C5",24.5,"A_H2O2","HoP",1.1606,"MBTH/DMAB"
"C6",24.5,"B_H2O2","HoP",1.2615,"MBTH/DMAB"
"C7",24.5,"A","HoP",0.0921,"MBTH/DMAB"
"C8",24.5,"B","HoP",0.0926,"MBTH/DMAB"
"D1",24.5,"A_H2O2","MnP",1.1428,"MBTH/DMAB"
"D2",24.5,"B_H2O2","MnP",0.0824,"MBTH/DMAB"
"D3",24.5,"A","MnP",0.0876,"MBTH/DMAB"
"D4",24.5,"B","MnP",0.0762,"MBTH/DMAB"
"D5",24.5,"A_H2O2","HoP",1.2167,"MBTH/DMAB"
"D6",24.5,"B_H2O2","HoP",1.2348,"MBTH/DMAB"
"D7",24.5,"A","HoP",0.0918,"MBTH/DMAB"
"D8",24.5,"B","HoP",0.0919,"MBTH/DMAB"
"A1",25,"A_H2O2","MnP",1.0471,"MBTH/DMAB"
"A2",25,"B_H2O2","MnP",0.0766,"MBTH/DMAB"
"A3",25,"A","MnP",0.088,"MBTH/DMAB"
"A4",25,"B","MnP",0.073,"MBTH/DMAB"
"A5",25,"A_H2O2","HoP",1.2154,"MBTH/DMAB"
"A6",25,"B_H2O2","HoP",1.2614,"MBTH/DMAB"
"A7",25,"A","HoP",0.0908,"MBTH/DMAB"
"A8",25,"B","HoP",0.0905,"MBTH/DMAB"
"B1",25,"A_H2O2","MnP",1.4332,"MBTH/DMAB"
"B2",25,"B_H2O2","MnP",0.0805,"MBTH/DMAB"
"B3",25,"A","MnP",0.0878,"MBTH/DMAB"
"B4",25,"B","MnP",0.074,"MBTH/DMAB"
"B5",25,"A_H2O2","HoP",1.2229,"MBTH/DMAB"
