"well_ID","time_min","MnP_conc","H2O2_conc","absorbance"
"H2",20.5,"0.008",0,0.0833
"H3",20.5,"0.008",0,0.0822
"H4",20.5,"0.008",0,0.0835
"H5",20.5,"0.005",0,0.0842
"H6",20.5,"0.005",0,0.0845
"H7",20.5,"0.005",0,0.084
"H8",20.5,"0.005",0,0.0858
"A1",21,"0.008",50,0.1913
"A2",21,"0.008",50,0.2175
"A3",21,"0.008",50,0.2248
"A4",21,"0.008",50,0.2214
"A5",21,"0.005",50,0.2049
"A6",21,"0.005",50,0.167
"A7",21,"0.005",50,0.1893
"A8",21,"0.005",50,0.2063
"B1",21,"0.008",10,0.642
"B2",21,"0.008",10,0.7309
"B3",21,"0.008",10,0.7405
"B4",21,"0.008",10,0.7763
"B5",21,"0.005",10,0.4857
"B6",21,"0.005",10,0.4675
"B7",21,"0.005",10,0.5263
"B8",21,"0.005",10,0.5901
"C1",21,"0.008",5,1.3626
"C2",21,"0.008",5,1.8061
"C3",21,"0.008",5,1.6166
"C4",21,"0.008",5,1.8025
"C5",21,"0.005",5,0.892
"C6",21,"0.005",5,0.8801
"C7",21,"0.005",5,0.911
"C8",21,"0.005",5,0.8832
"D1",21,"0.008",2.5,1.7949
"D2",21,"0.008",2.5,1.856
"D3",21,"0.008",2.5,1.8478
"D4",21,"0.008",2.5,1.8596
"D5",21,"0.005",2.5,1.8469
"D6",21,"0.005",2.5,1.894
"D7",21,"0.005",2.5,1.7982
"D8",21,"0.005",2.5,1.8309
"E1",21,"0.008",1.25,1.3271
"E2",21,"0.008",1.25,1.3635
"E3",21,"0.008",1.25,1.3398
"E4",21,"0.008",1.25,1.3544
"E5",21,"0.005",1.25,1.4351
"E6",21,"0.005",1.25,1.4017
"E7",21,"0.005",1.25,1.4163
"E8",21,"0.005",1.25,1.4005
"F2",21,"0.008",0.75,0.8154
"F3",21,"0.008",0.75,0.8432
"F4",21,"0.008",0.75,0.8171
"F5",21,"0.005",0.75,0.867
"F6",21,"0.005",0.75,0.8694
"F7",21,"0.005",0.75,0.8395
"F8",21,"0.005",0.75,0.8675
"G1",21,"0.008",0.375,0.4907
"G2",21,"0.008",0.375,0.4856
"G3",21,"0.008",0.375,0.4922
"G4",21,"0.008",0.375,0.4753
"G5",21,"0.005",0.375,0.4915
"G6",21,"0.005",0.375,0.4968
"G7",21,"0.005",0.375,0.487
"G8",21,"0.005",0.375,0.4933
"H1",21,"0.008",0,0.084
"H2",21,"0.008",0,0.0838
"H3",21,"0.008",0,0.0823
"H4",21,"0.008",0,0.0833
"H5",21,"0.005",0,0.0846
"H6",21,"0.005",0,0.0848
"H7",21,"0.005",0,0.0843
"H8",21,"0.005",0,0.0858
"A1",21.5,"0.008",50,0.1913
"A2",21.5,"0.008",50,0.2188
"A3",21.5,"0.008",50,0.2255
"A4",21.5,"0.008",50,0.2226
"A5",21.5,"0.005",50,0.2046
"A6",21.5,"0.005",50,0.1672
"A7",21.5,"0.005",50,0.1894
"A8",21.5,"0.005",50,0.207
"B1",21.5,"0.008",10,0.6455
"B2",21.5,"0.008",10,0.7309
"B3",21.5,"0.008",10,0.7409
"B4",21.5,"0.008",10,0.7801
"B5",21.5,"0.005",10,0.488
"B6",21.5,"0.005",10,0.469
"B7",21.5,"0.005",10,0.5275
"B8",21.5,"0.005",10,0.5912
"C1",21.5,"0.008",5,1.3677
"C2",21.5,"0.008",5,1.806
"C3",21.5,"0.008",5,1.6234
"C4",21.5,"0.008",5,1.8043
"C5",21.5,"0.005",5,0.8974
"C6",21.5,"0.005",5,0.887
"C7",21.5,"0.005",5,0.9152
"C8",21.5,"0.005",5,0.885
"D1",21.5,"0.008",2.5,1.7937
"D2",21.5,"0.008",2.5,1.8547
"D3",21.5,"0.008",2.5,1.8488
"D4",21.5,"0.008",2.5,1.8597
"D5",21.5,"0.005",2.5,1.8523
"D6",21.5,"0.005",2.5,1.8937
"D7",21.5,"0.005",2.5,1.8027
"D8",21.5,"0.005",2.5,1.8339
"E1",21.5,"0.008",1.25,1.3269
"E2",21.5,"0.008",1.25,1.3632
"E3",21.5,"0.008",1.25,1.3397
"E4",21.5,"0.008",1.25,1.354
"E5",21.5,"0.005",1.25,1.4352
"E6",21.5,"0.005",1.25,1.4017
"E7",21.5,"0.005",1.25,1.417
"E8",21.5,"0.005",1.25,1.4009
"F2",21.5,"0.008",0.75,0.8152
"F3",21.5,"0.008",0.75,0.8433
"F4",21.5,"0.008",0.75,0.8169
"F5",21.5,"0.005",0.75,0.8668
"F6",21.5,"0.005",0.75,0.8685
"F7",21.5,"0.005",0.75,0.8393
"F8",21.5,"0.005",0.75,0.8671
"G1",21.5,"0.008",0.375,0.4907
"G2",21.5,"0.008",0.375,0.486
"G3",21.5,"0.008",0.375,0.4921
"G4",21.5,"0.008",0.375,0.475
"G5",21.5,"0.005",0.375,0.4916
"G6",21.5,"0.005",0.375,0.4964
"G7",21.5,"0.005",0.375,0.4872
"G8",21.5,"0.005",0.375,0.4935
"H1",21.5,"0.008",0,0.0839
"H2",21.5,"0.008",0,0.0842
"H3",21.5,"0.008",0,0.0822
"H4",21.5,"0.008",0,0.0838
"H5",21.5,"0.005",0,0.0845
"H6",21.5,"0.005",0,0.0846
"H7",21.5,"0.005",0,0.0841
"H8",21.5,"0.005",0,0.0859
"A1",22,"0.008",50,0.1912
"A2",22,"0.008",50,0.2192
"A3",22,"0.008",50,0.2259
"A4",22,"0.008",50,0.2238
"A5",22,"0.005",50,0.2046
"A6",22,"0.005",50,0.167
"A7",22,"0.005",50,0.1884
"A8",22,"0.005",50,0.2078
"B1",22,"0.008",10,0.5742
"B2",22,"0.008",10,0.7297
"B3",22,"0.008",10,0.7418
"B4",22,"0.008",10,0.7833
"B5",22,"0.005",10,0.4901
"B6",22,"0.005",10,0.4699
"B7",22,"0.005",10,0.528
"B8",22,"0.005",10,0.5917
"C1",22,"0.008",5,1.3725
"C2",22,"0.008",5,1.8069
"C3",22,"0.008",5,1.6277
"C4",22,"0.008",5,1.8051
"C5",22,"0.005",5,0.9036
"C6",22,"0.005",5,0.8925
"C7",22,"0.005",5,0.9197
"C8",22,"0.005",5,0.8884
"D1",22,"0.008",2.5,1.7937
"D2",22,"0.008",2.5,1.8546
"D3",22,"0.008",2.5,1.8497
"D4",22,"0.008",2.5,1.8605
"D5",22,"0.005",2.5,1.8572
"D6",22,"0.005",2.5,1.893
"D7",22,"0.005",2.5,1.8107
"D8",22,"0.005",2.5,1.8348
"E1",22,"0.008",1.25,1.3262
"E2",22,"0.008",1.25,1.3616
"E3",22,"0.008",1.25,1.3395
"E4",22,"0.008",1.25,1.3526
"E5",22,"0.005",1.25,1.4354
"E6",22,"0.005",1.25,1.403
"E7",22,"0.005",1.25,1.4166
"E8",22,"0.005",1.25,1.3999
"F2",22,"0.008",0.75,0.8153
"F3",22,"0.008",0.75,0.8436
"F4",22,"0.008",0.75,0.8169
"F5",22,"0.005",0.75,0.867
"F6",22,"0.005",0.75,0.869
"F7",22,"0.005",0.75,0.8391
"F8",22,"0.005",0.75,0.8669
"G1",22,"0.008",0.375,0.4903
"G2",22,"0.008",0.375,0.4857
"G3",22,"0.008",0.375,0.4929
"G4",22,"0.008",0.375,0.4751
"G5",22,"0.005",0.375,0.4912
"G6",22,"0.005",0.375,0.4963
"G7",22,"0.005",0.375,0.4873
"G8",22,"0.005",0.375,0.4932
"H1",22,"0.008",0,0.0838
"H2",22,"0.008",0,0.0841
"H3",22,"0.008",0,0.0825
"H4",22,"0.008",0,0.0837
"H5",22,"0.005",0,0.0851
"H6",22,"0.005",0,0.0848
"H7",22,"0.005",0,0.0845
"H8",22,"0.005",0,0.0861
"A1",22.5,"0.008",50,0.1915
"A2",22.5,"0.008",50,0.2206
"A3",22.5,"0.008",50,0.2258
"A4",22.5,"0.008",50,0.224
"A5",22.5,"0.005",50,0.2044
"A6",22.5,"0.005",50,0.1673
"A7",22.5,"0.005",50,0.1879
"A8",22.5,"0.005",50,0.2093
"B1",22.5,"0.008",10,0.5884
"B2",22.5,"0.008",10,0.7307
"B3",22.5,"0.008",10,0.7437
"B4",22.5,"0.008",10,0.7871
"B5",22.5,"0.005",10,0.4937
"B6",22.5,"0.005",10,0.4703
"B7",22.5,"0.005",10,0.5293
"B8",22.5,"0.005",10,0.5932
"C1",22.5,"0.008",5,1.3771
"C2",22.5,"0.008",5,1.8073
"C3",22.5,"0.008",5,1.633
"C4",22.5,"0.008",5,1.8063
"C5",22.5,"0.005",5,0.9083
"C6",22.5,"0.005",5,0.8966
"C7",22.5,"0.005",5,0.9232
"C8",22.5,"0.005",5,0.8912
"D1",22.5,"0.008",2.5,1.7923
"D2",22.5,"0.008",2.5,1.853
"D3",22.5,"0.008",2.5,1.8492
"D4",22.5,"0.008",2.5,1.8586
"D5",22.5,"0.005",2.5,1.8623
"D6",22.5,"0.005",2.5,1.8923
"D7",22.5,"0.005",2.5,1.8156
"D8",22.5,"0.005",2.5,1.8357
"E1",22.5,"0.008",1.25,1.3258
"E2",22.5,"0.008",1.25,1.3616
"E3",22.5,"0.008",1.25,1.3382
"E4",22.5,"0.008",1.25,1.3524
"E5",22.5,"0.005",1.25,1.4357
"E6",22.5,"0.005",1.25,1.4024
"E7",22.5,"0.005",1.25,1.4161
"E8",22.5,"0.005",1.25,1.4004
"F2",22.5,"0.008",0.75,0.8151
"F3",22.5,"0.008",0.75,0.8427
"F4",22.5,"0.008",0.75,0.8162
"F5",22.5,"0.005",0.75,0.8662
"F6",22.5,"0.005",0.75,0.8686
"F7",22.5,"0.005",0.75,0.8391
"F8",22.5,"0.005",0.75,0.8663
"G1",22.5,"0.008",0.375,0.4907
"G2",22.5,"0.008",0.375,0.4855
"G3",22.5,"0.008",0.375,0.4921
"G4",22.5,"0.008",0.375,0.4752
"G5",22.5,"0.005",0.375,0.4911
"G6",22.5,"0.005",0.375,0.4961
"G7",22.5,"0.005",0.375,0.4867
"G8",22.5,"0.005",0.375,0.4941
"H1",22.5,"0.008",0,0.084
"H2",22.5,"0.008",0,0.0844
"H3",22.5,"0.008",0,0.0826
"H4",22.5,"0.008",0,0.0844
"H5",22.5,"0.005",0,0.0846
"H6",22.5,"0.005",0,0.0849
"H7",22.5,"0.005",0,0.0849
"H8",22.5,"0.005",0,0.0861
"A1",23,"0.008",50,0.1911
"A2",23,"0.008",50,0.2218
"A3",23,"0.008",50,0.2281
"A4",23,"0.008",50,0.2239
"A5",23,"0.005",50,0.2038
"A6",23,"0.005",50,0.1669
"A7",23,"0.005",50,0.1877
"A8",23,"0.005",50,0.2107
"B1",23,"0.008",10,0.6123
"B2",23,"0.008",10,0.7295
"B3",23,"0.008",10,0.7448
"B4",23,"0.008",10,0.7897
"B5",23,"0.005",10,0.4968
"B6",23,"0.005",10,0.4709
"B7",23,"0.005",10,0.5299
"B8",23,"0.005",10,0.5927
"C1",23,"0.008",5,1.3812
"C2",23,"0.008",5,1.8072
"C3",23,"0.008",5,1.638
"C4",23,"0.008",5,1.8066
"C5",23,"0.005",5,0.913
"C6",23,"0.005",5,0.9021
"C7",23,"0.005",5,0.9275
"C8",23,"0.005",5,0.8946
"D1",23,"0.008",2.5,1.7922
"D2",23,"0.008",2.5,1.8528
"D3",23,"0.008",2.5,1.8507
"D4",23,"0.008",2.5,1.8583
"D5",23,"0.005",2.5,1.8656
"D6",23,"0.005",2.5,1.8908
"D7",23,"0.005",2.5,1.8202
"D8",23,"0.005",2.5,1.8356
"E1",23,"0.008",1.25,1.3254
"E2",23,"0.008",1.25,1.3619
"E3",23,"0.008",1.25,1.338
"E4",23,"0.008",1.25,1.3519
"E5",23,"0.005",1.25,1.4356
"E6",23,"0.005",1.25,1.4025
"E7",23,"0.005",1.25,1.4165
"E8",23,"0.005",1.25,1.4
"F2",23,"0.008",0.75,0.815
"F3",23,"0.008",0.75,0.8427
"F4",23,"0.008",0.75,0.8163
"F5",23,"0.005",0.75,0.8666
"F6",23,"0.005",0.75,0.8684
"F7",23,"0.005",0.75,0.8389
"F8",23,"0.005",0.75,0.8667
"G1",23,"0.008",0.375,0.4904
"G2",23,"0.008",0.375,0.4854
"G3",23,"0.008",0.375,0.4922
"G4",23,"0.008",0.375,0.4755
"G5",23,"0.005",0.375,0.4914
"G6",23,"0.005",0.375,0.4962
"G7",23,"0.005",0.375,0.4865
"G8",23,"0.005",0.375,0.4934
"H1",23,"0.008",0,0.0842
"H2",23,"0.008",0,0.0847
"H3",23,"0.008",0,0.0827
"H4",23,"0.008",0,0.0843
"H5",23,"0.005",0,0.0852
"H6",23,"0.005",0,0.0851
"H7",23,"0.005",0,0.0845
"H8",23,"0.005",0,0.0868
"A1",23.5,"0.008",50,0.1913
"A2",23.5,"0.008",50,0.2229
"A3",23.5,"0.008",50,0.2298
"A4",23.5,"0.008",50,0.2239
"A5",23.5,"0.005",50,0.2041
"A6",23.5,"0.005",50,0.1673
"A7",23.5,"0.005",50,0.1869
"A8",23.5,"0.005",50,0.2121
"B1",23.5,"0.008",10,0.6701
"B2",23.5,"0.008",10,0.7284
"B3",23.5,"0.008",10,0.7457
"B4",23.5,"0.008",10,0.7918
"B5",23.5,"0.005",10,0.4989
"B6",23.5,"0.005",10,0.4718
"B7",23.5,"0.005",10,0.5303
"B8",23.5,"0.005",10,0.5943
"C1",23.5,"0.008",5,1.3864
"C2",23.5,"0.008",5,1.8079
"C3",23.5,"0.008",5,1.6445
"C4",23.5,"0.008",5,1.8072
"C5",23.5,"0.005",5,0.9175
"C6",23.5,"0.005",5,0.9078
"C7",23.5,"0.005",5,0.9322
"C8",23.5,"0.005",5,0.8965
"D1",23.5,"0.008",2.5,1.7893
"D2",23.5,"0.008",2.5,1.8534
"D3",23.5,"0.008",2.5,1.8518
"D4",23.5,"0.008",2.5,1.8589
"D5",23.5,"0.005",2.5,1.87
"D6",23.5,"0.005",2.5,1.8888
"D7",23.5,"0.005",2.5,1.8237
"D8",23.5,"0.005",2.5,1.8358
"E1",23.5,"0.008",1.25,1.3249
"E2",23.5,"0.008",1.25,1.3614
"E3",23.5,"0.008",1.25,1.3376
"E4",23.5,"0.008",1.25,1.3517
"E5",23.5,"0.005",1.25,1.436
"E6",23.5,"0.005",1.25,1.4039
"E7",23.5,"0.005",1.25,1.4162
"E8",23.5,"0.005",1.25,1.3996
"F2",23.5,"0.008",0.75,0.8151
"F3",23.5,"0.008",0.75,0.8421
"F4",23.5,"0.008",0.75,0.8165
"F5",23.5,"0.005",0.75,0.8665
"F6",23.5,"0.005",0.75,0.8682
"F7",23.5,"0.005",0.75,0.8385
"F8",23.5,"0.005",0.75,0.8668
"G1",23.5,"0.008",0.375,0.4905
"G2",23.5,"0.008",0.375,0.4854
"G3",23.5,"0.008",0.375,0.4918
"G4",23.5,"0.008",0.375,0.4752
"G5",23.5,"0.005",0.375,0.4912
"G6",23.5,"0.005",0.375,0.496
"G7",23.5,"0.005",0.375,0.4871
"G8",23.5,"0.005",0.375,0.4932
"H1",23.5,"0.008",0,0.0842
"H2",23.5,"0.008",0,0.0849
"H3",23.5,"0.008",0,0.0831
"H4",23.5,"0.008",0,0.0849
"H5",23.5,"0.005",0,0.0852
"H6",23.5,"0.005",0,0.0856
"H7",23.5,"0.005",0,0.085
"H8",23.5,"0.005",0,0.0868
"A1",24,"0.008",50,0.1908
"A2",24,"0.008",50,0.2229
"A3",24,"0.008",50,0.2311
"A4",24,"0.008",50,0.2232
"A5",24,"0.005",50,0.2039
"A6",24,"0.005",50,0.1672
"A7",24,"0.005",50,0.1867
"A8",24,"0.005",50,0.213
"B1",24,"0.008",10,0.686
"B2",24,"0.008",10,0.7286
"B3",24,"0.008",10,0.7463
"B4",24,"0.008",10,0.7926
"B5",24,"0.005",10,0.5007
"B6",24,"0.005",10,0.4722
"B7",24,"0.005",10,0.5303
"B8",24,"0.005",10,0.5947
"C1",24,"0.008",5,1.3918
"C2",24,"0.008",5,1.8076
"C3",24,"0.008",5,1.652
"C4",24,"0.008",5,1.8077
"C5",24,"0.005",5,0.922
"C6",24,"0.005",5,0.9127
"C7",24,"0.005",5,0.9353
"C8",24,"0.005",5,0.8997
"D1",24,"0.008",2.5,1.7907
"D2",24,"0.008",2.5,1.8519
"D3",24,"0.008",2.5,1.8512
"D4",24,"0.008",2.5,1.8581
"D5",24,"0.005",2.5,1.8726
"D6",24,"0.005",2.5,1.8884
"D7",24,"0.005",2.5,1.8278
"D8",24,"0.005",2.5,1.8364
"E1",24,"0.008",1.25,1.3247
"E2",24,"0.008",1.25,1.3609
"E3",24,"0.008",1.25,1.3375
"E4",24,"0.008",1.25,1.3517
"E5",24,"0.005",1.25,1.4359
"E6",24,"0.005",1.25,1.4031
"E7",24,"0.005",1.25,1.4162
"E8",24,"0.005",1.25,1.3999
"F2",24,"0.008",0.75,0.8143
"F3",24,"0.008",0.75,0.8425
"F4",24,"0.008",0.75,0.816
"F5",24,"0.005",0.75,0.8663
"F6",24,"0.005",0.75,0.868
"F7",24,"0.005",0.75,0.8388
"F8",24,"0.005",0.75,0.8666
"G1",24,"0.008",0.375,0.4901
"G2",24,"0.008",0.375,0.4853
"G3",24,"0.008",0.375,0.4922
"G4",24,"0.008",0.375,0.4748
"G5",24,"0.005",0.375,0.4916
"G6",24,"0.005",0.375,0.496
"G7",24,"0.005",0.375,0.4869
"G8",24,"0.005",0.375,0.4934
"H1",24,"0.008",0,0.0844
"H2",24,"0.008",0,0.0849
"H3",24,"0.008",0,0.083
"H4",24,"0.008",0,0.0846
"H5",24,"0.005",0,0.0856
"H6",24,"0.005",0,0.0861
"H7",24,"0.005",0,0.0851
"H8",24,"0.005",0,0.0869
"A1",24.5,"0.008",50,0.1908
"A2",24.5,"0.008",50,0.2234
"A3",24.5,"0.008",50,0.2324
"A4",24.5,"0.008",50,0.2225
"A5",24.5,"0.005",50,0.2037
"A6",24.5,"0.005",50,0.1672
"A7",24.5,"0.005",50,0.1866
"A8",24.5,"0.005",50,0.2131
"B1",24.5,"0.008",10,0.6906
"B2",24.5,"0.008",10,0.7283
"B3",24.5,"0.008",10,0.7471
"B4",24.5,"0.008",10,0.793
"B5",24.5,"0.005",10,0.5024
"B6",24.5,"0.005",10,0.4726
"B7",24.5,"0.005",10,0.5304
"B8",24.5,"0.005",10,0.5961
"C1",24.5,"0.008",5,1.3958
"C2",24.5,"0.008",5,1.8077
"C3",24.5,"0.008",5,1.6568
"C4",24.5,"0.008",5,1.8071
"C5",24.5,"0.005",5,0.9246
"C6",24.5,"0.005",5,0.918
"C7",24.5,"0.005",5,0.9377
"C8",24.5,"0.005",5,0.902
"D1",24.5,"0.008",2.5,1.7876
"D2",24.5,"0.008",2.5,1.8508
"D3",24.5,"0.008",2.5,1.8523
"D4",24.5,"0.008",2.5,1.8573
"D5",24.5,"0.005",2.5,1.8753
"D6",24.5,"0.005",2.5,1.8871
"D7",24.5,"0.005",2.5,1.832
"D8",24.5,"0.005",2.5,1.8357
"E1",24.5,"0.008",1.25,1.3247
"E2",24.5,"0.008",1.25,1.3604
"E3",24.5,"0.008",1.25,1.3378
"E4",24.5,"0.008",1.25,1.3501
"E5",24.5,"0.005",1.25,1.4354
"E6",24.5,"0.005",1.25,1.4032
"E7",24.5,"0.005",1.25,1.4154
"E8",24.5,"0.005",1.25,1.3988
"F2",24.5,"0.008",0.75,0.8146
"F3",24.5,"0.008",0.75,0.8428
"F4",24.5,"0.008",0.75,0.8157
"F5",24.5,"0.005",0.75,0.8667
"F6",24.5,"0.005",0.75,0.8681
"F7",24.5,"0.005",0.75,0.8388
"F8",24.5,"0.005",0.75,0.8667
"G1",24.5,"0.008",0.375,0.4913
"G2",24.5,"0.008",0.375,0.4852
"G3",24.5,"0.008",0.375,0.4928
"G4",24.5,"0.008",0.375,0.4749
"G5",24.5,"0.005",0.375,0.4918
"G6",24.5,"0.005",0.375,0.4956
"G7",24.5,"0.005",0.375,0.487
"G8",24.5,"0.005",0.375,0.4935
"H1",24.5,"0.008",0,0.0843
"H2",24.5,"0.008",0,0.0851
"H3",24.5,"0.008",0,0.0835
"H4",24.5,"0.008",0,0.0848
"H5",24.5,"0.005",0,0.0856
"H6",24.5,"0.005",0,0.0858
"H7",24.5,"0.005",0,0.0852
"H8",24.5,"0.005",0,0.087
"A1",25,"0.008",50,0.191
"A2",25,"0.008",50,0.2235
"A3",25,"0.008",50,0.2332
"A4",25,"0.008",50,0.2218
"A5",25,"0.005",50,0.2038
"A6",25,"0.005",50,0.1673
"A7",25,"0.005",50,0.1867
"A8",25,"0.005",50,0.2129
"B1",25,"0.008",10,0.7012
"B2",25,"0.008",10,0.7294
"B3",25,"0.008",10,0.7481
"B4",25,"0.008",10,0.7933
"B5",25,"0.005",10,0.5034
"B6",25,"0.005",10,0.4743
"B7",25,"0.005",10,0.531
"B8",25,"0.005",10,0.5964
"C1",25,"0.008",5,1.3994
"C2",25,"0.008",5,1.8093
"C3",25,"0.008",5,1.6636
"C4",25,"0.008",5,1.8069
"C5",25,"0.005",5,0.9303
"C6",25,"0.005",5,0.9221
"C7",25,"0.005",5,0.943
"C8",25,"0.005",5,0.9043
"D1",25,"0.008",2.5,1.7866
"D2",25,"0.008",2.5,1.8518
"D3",25,"0.008",2.5,1.8527
"D4",25,"0.008",2.5,1.8572
"D5",25,"0.005",2.5,1.8766
"D6",25,"0.005",2.5,1.8843
"D7",25,"0.005",2.5,1.8341
"D8",25,"0.005",2.5,1.8352
"E1",25,"0.008",1.25,1.3237
"E2",25,"0.008",1.25,1.36
"E3",25,"0.008",1.25,1.337
"E4",25,"0.008",1.25,1.3501
"E5",25,"0.005",1.25,1.4364
"E6",25,"0.005",1.25,1.4032
"E7",25,"0.005",1.25,1.4159
"E8",25,"0.005",1.25,1.3992
"F2",25,"0.008",0.75,0.8141
"F3",25,"0.008",0.75,0.8423
"F4",25,"0.008",0.75,0.8159
"F5",25,"0.005",0.75,0.8667
"F6",25,"0.005",0.75,0.8678
"F7",25,"0.005",0.75,0.8385
"F8",25,"0.005",0.75,0.8663
"G1",25,"0.008",0.375,0.4902
"G2",25,"0.008",0.375,0.4856
"G3",25,"0.008",0.375,0.492
"G4",25,"0.008",0.375,0.4748
"G5",25,"0.005",0.375,0.4913
"G6",25,"0.005",0.375,0.4963
"G7",25,"0.005",0.375,0.4864
"G8",25,"0.005",0.375,0.4934
"H1",25,"0.008",0,0.0848
"H2",25,"0.008",0,0.0858
"H3",25,"0.008",0,0.0835
"H4",25,"0.008",0,0.0851
"H5",25,"0.005",0,0.0859
"H6",25,"0.005",0,0.0862
"H7",25,"0.005",0,0.0855
"H8",25,"0.005",0,0.087
"A1",25.5,"0.008",50,0.1911
"A2",25.5,"0.008",50,0.2231
"A3",25.5,"0.008",50,0.234
"A4",25.5,"0.008",50,0.2212
"A5",25.5,"0.005",50,0.2041
"A6",25.5,"0.005",50,0.1675
"A7",25.5,"0.005",50,0.1866
"A8",25.5,"0.005",50,0.2121
"B1",25.5,"0.008",10,0.6867
"B2",25.5,"0.008",10,0.7293
"B3",25.5,"0.008",10,0.7496
"B4",25.5,"0.008",10,0.7944
"B5",25.5,"0.005",10,0.5043
"B6",25.5,"0.005",10,0.4741
"B7",25.5,"0.005",10,0.5311
"B8",25.5,"0.005",10,0.5985
"C1",25.5,"0.008",5,1.4047
"C2",25.5,"0.008",5,1.8091
"C3",25.5,"0.008",5,1.6669
"C4",25.5,"0.008",5,1.807
"C5",25.5,"0.005",5,0.9342
"C6",25.5,"0.005",5,0.9247
"C7",25.5,"0.005",5,0.9455
"C8",25.5,"0.005",5,0.9071
"D1",25.5,"0.008",2.5,1.7854
"D2",25.5,"0.008",2.5,1.8517
"D3",25.5,"0.008",2.5,1.853
"D4",25.5,"0.008",2.5,1.8574
"D5",25.5,"0.005",2.5,1.8788
"D6",25.5,"0.005",2.5,1.8837
"D7",25.5,"0.005",2.5,1.8388
"D8",25.5,"0.005",2.5,1.834
"E1",25.5,"0.008",1.25,1.3238
"E2",25.5,"0.008",1.25,1.3589
"E3",25.5,"0.008",1.25,1.3368
"E4",25.5,"0.008",1.25,1.3495
"E5",25.5,"0.005",1.25,1.4355
"E6",25.5,"0.005",1.25,1.4032
"E7",25.5,"0.005",1.25,1.4153
"E8",25.5,"0.005",1.25,1.399
"F2",25.5,"0.008",0.75,0.8141
"F3",25.5,"0.008",0.75,0.8422
"F4",25.5,"0.008",0.75,0.816
"F5",25.5,"0.005",0.75,0.8664
"F6",25.5,"0.005",0.75,0.8671
"F7",25.5,"0.005",0.75,0.8383
"F8",25.5,"0.005",0.75,0.8663
"G1",25.5,"0.008",0.375,0.4904
"G2",25.5,"0.008",0.375,0.4855
"G3",25.5,"0.008",0.375,0.4922
"G4",25.5,"0.008",0.375,0.4742
"G5",25.5,"0.005",0.375,0.4915
"G6",25.5,"0.005",0.375,0.4957
"G7",25.5,"0.005",0.375,0.4865
"G8",25.5,"0.005",0.375,0.4934
"H1",25.5,"0.008",0,0.085
"H2",25.5,"0.008",0,0.0858
"H3",25.5,"0.008",0,0.0834
"H4",25.5,"0.008",0,0.0852
"H5",25.5,"0.005",0,0.0857
"H6",25.5,"0.005",0,0.0859
"H7",25.5,"0.005",0,0.0855
"H8",25.5,"0.005",0,0.087
"A1",26,"0.008",50,0.191
"A2",26,"0.008",50,0.2229
"A3",26,"0.008",50,0.2344
"A4",26,"0.008",50,0.2205
"A5",26,"0.005",50,0.2038
"A6",26,"0.005",50,0.1674
"A7",26,"0.005",50,0.1863
"A8",26,"0.005",50,0.2114
"B1",26,"0.008",10,0.7251
"B2",26,"0.008",10,0.7284
"B3",26,"0.008",10,0.75
"B4",26,"0.008",10,0.7951
"B5",26,"0.005",10,0.5041
"B6",26,"0.005",10,0.4753
"B7",26,"0.005",10,0.5314
"B8",26,"0.005",10,0.5989
"C1",26,"0.008",5,1.4092
"C2",26,"0.008",5,1.8086
"C3",26,"0.008",5,1.6742
"C4",26,"0.008",5,1.8077
"C5",26,"0.005",5,0.9374
"C6",26,"0.005",5,0.928
"C7",26,"0.005",5,0.9493
"C8",26,"0.005",5,0.9096
"D1",26,"0.008",2.5,1.7858
"D2",26,"0.008",2.5,1.8516
"D3",26,"0.008",2.5,1.8513
"D4",26,"0.008",2.5,1.8578
"D5",26,"0.005",2.5,1.8823
"D6",26,"0.005",2.5,1.8815
"D7",26,"0.005",2.5,1.8421
"D8",26,"0.005",2.5,1.8348
"E1",26,"0.008",1.25,1.323
"E2",26,"0.008",1.25,1.3597
"E3",26,"0.008",1.25,1.3368
"E4",26,"0.008",1.25,1.3497
"E5",26,"0.005",1.25,1.4359
"E6",26,"0.005",1.25,1.4038
"E7",26,"0.005",1.25,1.4155
"E8",26,"0.005",1.25,1.3986
"F2",26,"0.008",0.75,0.8139
"F3",26,"0.008",0.75,0.8424
"F4",26,"0.008",0.75,0.8155
"F5",26,"0.005",0.75,0.8662
"F6",26,"0.005",0.75,0.8681
"F7",26,"0.005",0.75,0.838
"F8",26,"0.005",0.75,0.866
"G1",26,"0.008",0.375,0.4904
"G2",26,"0.008",0.375,0.4854
"G3",26,"0.008",0.375,0.4923
"G4",26,"0.008",0.375,0.4745
"G5",26,"0.005",0.375,0.4912
"G6",26,"0.005",0.375,0.4958
"G7",26,"0.005",0.375,0.4865
"G8",26,"0.005",0.375,0.4934
"H1",26,"0.008",0,0.0854
"H2",26,"0.008",0,0.0857
"H3",26,"0.008",0,0.0839
"H4",26,"0.008",0,0.0852
"H5",26,"0.005",0,0.086
"H6",26,"0.005",0,0.0861
"H7",26,"0.005",0,0.0859
"H8",26,"0.005",0,0.0871
"A1",26.5,"0.008",50,0.1911
"A2",26.5,"0.008",50,0.2222
"A3",26.5,"0.008",50,0.2343
"A4",26.5,"0.008",50,0.2203
"A5",26.5,"0.005",50,0.2041
